Year,Type,Country,Fatal_injury,Species,Length,Weight
1976,Unprovoked,USA,N,TIGER SHARK,185,31
1976,Boating,SOUTH AFRICA,N,WHITE SHARK,250,152
1976,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,300,260
1976,Provoked,SOUTH AFRICA,N,WHITE SHARK,300,260
1976,Unprovoked,USA,N,WHITE SHARK,350,424
1976,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,350,424
1976,Unprovoked,USA,N,WHITE SHARK,450,929
1976,Provoked,SOUTH AFRICA,N,WHITE SHARK,480,1133
1976,Unprovoked,USA,N,WHITE SHARK,550,1760
1977,Unprovoked,USA,N,BULL SHARK,135,16
1977,Provoked,USA,N,BULL SHARK,245,92
1977,Boating,SOUTH AFRICA,N,SHORTFIN MAKO SHARK,230,47
1977,Unprovoked,SOUTH AFRICA,N,TIGER SHARK,300,148
1977,Boating,SOUTH AFRICA,N,WHITE SHARK,300,260
1977,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,500,1300
1977,Unprovoked,USA,N,WHITE SHARK,575,1983
1978,Unprovoked,AUSTRALIA,N,BROADNOSE SEVENGILL SHARK,240,66
1978,Unprovoked,SOUTH AFRICA,Y,WHITE SHARK,230,118
1978,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,370,512
1978,Unprovoked,ITALY,N,WHITE SHARK,500,1300
1979,Provoked,SOUTH AFRICA,N,WHITE SHARK,250,152
1979,Unprovoked,USA,N,WHITE SHARK,400,650
1979,Unprovoked,USA,N,WHITE SHARK,450,929
1979,Provoked,SOUTH AFRICA,N,WHITE SHARK,500,1300
1980,Provoked,SOUTH AFRICA,N,BULL SHARK,200,51
1980,Provoked,SOUTH AFRICA,N,HAMMERHEAD SHARK,150,15
1980,Provoked,USA,N,SPINY DOGFISH SHARK,180,14
1980,Unprovoked,USA,N,TIGER SHARK,430,560
1980,Unprovoked,REUNION,N,WHITE SHARK,180,58
1980,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,280,212
1980,Unprovoked,USA,N,WHITE SHARK,450,929
1980,Unprovoked,USA,N,WHITE SHARK,450,929
1981,Unprovoked,USA,N,BULL SHARK,135,16
1981,Unprovoked,SOUTH AFRICA,N,BULL SHARK,180,38
1981,Unprovoked,AUSTRALIA,N,HAMMERHEAD SHARK,100,5
1981,Unprovoked,USA,N,HAMMERHEAD SHARK,210,41
1981,Boating,ENGLAND,N,THRESHER SHARK,395,413
1981,Unprovoked,SOUTH AFRICA,N,TIGER SHARK,210,47
1981,Unprovoked,AUSTRALIA,N,TIGER SHARK,250,82
1981,Unprovoked,USA,N,TIGER SHARK,370,343
1981,Provoked,SOUTH AFRICA,N,WHITE SHARK,350,424
1981,Unprovoked,SOUTH KOREA,Y,WHITE SHARK,600,2287
1981,Unprovoked,USA,Y,WHITE SHARK,700,3688
1982,Unprovoked,BAHAMAS,N,LEMON SHARK,200,67
1982,Unprovoked,TUNISIA,N,SPINNER SHARK,210,48
1982,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,250,152
1982,Unprovoked,SOUTH AFRICA,Y,WHITE SHARK,250,152
1982,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,280,212
1982,Unprovoked,USA,N,WHITE SHARK,500,1300
1982,Unprovoked,USA,N,WHITE SHARK,500,1300
1982,Unprovoked,USA,N,WHITE SHARK,550,1760
1982,Unprovoked,AUSTRALIA,Y,WHITE SHARK,550,1760
1983,Unprovoked,SOUTH AFRICA,N,BULL SHARK,180,38
1983,Unprovoked,USA,N,BULL SHARK,215,63
1983,Unprovoked,USA,N,HAMMERHEAD SHARK,150,15
1983,Sea Disaster,AUSTRALIA,Y,TIGER SHARK,500,930
1983,Sea Disaster,AUSTRALIA,Y,TIGER SHARK,500,930
1983,Sea Disaster,AUSTRALIA,N,TIGER SHARK,500,930
1983,Unprovoked,AUSTRALIA,N,WHITE SHARK,365,489
1983,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,500,1300
1984,Unprovoked,USA,N,BLACKTIP SHARK,120,9
1984,Provoked,SOUTH AFRICA,N,DUSKY SHARK,150,17
1984,Unprovoked,USA,N,HAMMERHEAD SHARK,135,11
1984,Unprovoked,AUSTRALIA,Y,TIGER SHARK,400,432
1984,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,250,152
1984,Unprovoked,USA,N,WHITE SHARK,350,424
1984,Unprovoked,USA,N,WHITE SHARK,400,650
1984,Unprovoked,USA,Y,WHITE SHARK,475,1094
1984,Provoked,MEXICO,N,WHITE SHARK,475,1094
1985,Provoked,SOUTH AFRICA,N,DUSKY SHARK,150,17
1985,Unprovoked,USA,N,TIGER SHARK,255,88
1985,Unprovoked,USA,N,TIGER SHARK,370,343
1985,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,250,152
1985,Unprovoked,ITALY,N,WHITE SHARK,330,348
1985,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,350,424
1985,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,350,424
1985,Unprovoked,USA,N,WHITE SHARK,450,929
1985,Boating,USA,N,WHITE SHARK,550,1760
1985,Boating,USA,N,WHITE SHARK,550,1760
1985,Unprovoked,AUSTRALIA,Y,WHITE SHARK,600,2287
1985,Unprovoked,USA,N,WHITE SHARK,600,2287
1986,Unprovoked,USA,N,BLACKTIP SHARK,195,38
1986,Unprovoked,AUSTRALIA,N,COPPER SHARK,350,202
1986,Unprovoked,SOUTH AFRICA,N,DUSKY SHARK,120,8
1986,Unprovoked,USA,N,LEMON SHARK,210,78
1986,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,270,190
1986,Unprovoked,SOUTH AFRICA,Y,WHITE SHARK,300,260
1986,Unprovoked,SPAIN,N,WHITE SHARK,350,424
1986,Unprovoked,USA,N,WHITE SHARK,550,1760
1986,Boating,AUSTRALIA,N,WHITE SHARK,600,2287
1987,Provoked,USA,N,BLACKTIP SHARK,150,17
